City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kargasok,59.0556,80.8572,72.23,61,5,7.63,RU,1655781759
Auki,-8.7676,160.7034,82.35,74,50,3.24,SB,1655781760
Kayseri Province,38.737,35.4968,55.42,76,0,0.0,TR,1655781761
Quanzhou,24.9139,118.5858,82.54,81,100,7.29,CN,1655781761
Nago,26.5881,127.9761,88.23,80,100,13.38,JP,1655781762
Medicine Hat,50.0501,-110.6683,57.63,83,75,10.36,CA,1655781610
Cherskiy,68.75,161.3,40.44,69,100,13.04,RU,1655781763
Santa Maria,-29.6842,-53.8069,52.9,100,20,3.44,BR,1655781707
North Bend,43.4065,-124.2243,60.85,94,100,25.32,US,1655781764
El Alto,-4.2714,-81.2147,63.1,85,96,12.93,PE,1655781765
Geraldton,-28.7667,114.6,66.61,72,4,19.57,AU,1655781766
Souillac,-20.5167,57.5167,68.38,56,20,5.75,MU,1655781767
La Ronge,55.1001,-105.2842,62.85,77,100,4.61,CA,1655781767
Mossamedes,-15.1961,12.1522,58.19,74,0,3.76,AO,1655781768
Westport,41.1415,-73.3579,67.75,77,0,6.91,US,1655781769
Juiz de Fora,-21.7642,-43.3503,56.35,95,2,2.26,BR,1655781769
Lagos,6.5833,3.75,74.66,95,86,2.71,NG,1655781585
Half Moon Bay,37.4636,-122.4286,78.8,76,0,17.27,US,1655781770
Nelson Bay,-32.7167,152.15,67.1,63,1,1.99,AU,1655781771
Tuatapere,-46.1333,167.6833,48.87,64,0,2.15,NZ,1655781772
Grindavik,63.8424,-22.4338,44.55,100,75,4.61,IS,1655781773
Xining,36.6167,101.7667,63.32,75,100,2.53,CN,1655781773
Kieta,-6.2167,155.6333,85.71,66,52,6.29,PG,1655781774
Kalabo,-14.97,22.6814,53.04,61,1,6.24,ZM,1655781775
Sambava,-14.2667,50.1667,65.73,84,2,10.27,MG,1655781776
Wawa,9.9022,4.4192,74.91,88,100,4.85,NG,1655781728
Manama,26.2154,50.5832,94.33,45,0,3.44,BH,1655781778
Labuan,5.2767,115.2417,84.56,79,20,2.3,MY,1655781778
Wexford,52.3342,-6.4575,52.21,91,84,5.14,IE,1655781779
Kyren,51.6828,102.1408,68.5,62,69,3.94,RU,1655781780
Boquira,-12.8231,-42.7306,64.49,80,7,4.63,BR,1655781780
Bathsheba,13.2167,-59.5167,81.21,83,40,12.66,BB,1655781781
Ogbomosho,8.133,4.25,70.83,99,83,4.27,NG,1655781782
Longyearbyen,78.2186,15.6401,40.84,75,75,32.21,SJ,1655781704
Diu,20.7141,70.9822,85.71,73,33,15.05,IN,1655781783
Shebalino,51.2917,85.6772,70.72,47,1,3.13,RU,1655781784
Kalat,29.0225,66.5916,63.1,29,0,12.62,PK,1655781785
Hare Bay,48.8499,-54.0148,61.95,99,100,3.56,CA,1655781785
Kirkuk,35.4681,44.3922,87.13,21,0,5.95,IQ,1655781786
Tabou,4.423,-7.3528,74.26,93,100,3.71,CI,1655781787
Ahipara,-35.1667,173.1667,55.62,71,100,11.63,NZ,1655781788
Byron Bay,-28.65,153.6167,69.94,59,0,5.53,AU,1655781696
Isangel,-19.55,169.2667,78.91,65,40,11.5,VU,1655781789
Saint-Joseph,-21.3667,55.6167,62.98,66,23,8.28,RE,1655781790
Susuman,62.7833,148.1667,57.45,66,98,11.81,RU,1655781790
Plattling,48.7833,12.8667,54.48,78,5,5.08,DE,1655781791
Arenápolis,-14.4503,-56.8461,69.51,64,0,2.33,BR,1655781792
Tocopilla,-22.092,-70.1979,57.27,69,8,1.45,CL,1655781793
Arroyo de la Encomienda,41.6096,-4.7969,55.15,77,0,4.61,ES,1655781794
Hastings,50.8552,0.5729,53.33,96,52,8.68,GB,1655781794
Okhotsk,59.3833,143.3,53.15,75,88,10.36,RU,1655781795
Maniitsoq,65.4167,-52.9,36.03,90,100,5.66,GL,1655781796
Meulaboh,4.1363,96.1285,74.95,89,100,4.12,ID,1655781797
Cartagena del Chairá,1.3349,-74.8429,69.69,98,70,2.35,CO,1655781799
Macao,22.2006,113.5461,87.85,89,40,10.36,MO,1655781799
Svodín,47.9105,18.4997,62.38,82,67,12.77,SK,1655781800
Hong Kong,22.2855,114.1577,86.38,79,100,15.99,HK,1655781601
Don Luan,11.5333,106.9167,86.95,67,54,4.41,VN,1655781784
Zaysan,47.4667,84.8667,82.78,27,13,2.17,KZ,1655781802
Sioux Lookout,50.1001,-91.917,73.47,83,100,10.36,CA,1655781803
Waipawa,-41.4122,175.5153,47.14,78,97,11.65,NZ,1655781803
Vila do Maio,15.1333,-23.2167,75.99,90,43,9.33,CV,1655781804
Brae,60.3964,-1.353,51.28,98,100,11.41,GB,1655781805
Russkiy Aktash,55.0384,52.1214,53.49,89,4,15.21,RU,1655781806
Kokstad,-30.5472,29.4241,45.37,96,35,3.78,ZA,1655781806
Lucapa,-8.4192,20.7447,62.67,63,0,2.46,AO,1655781807
Birjand,32.8663,59.2211,68.47,26,0,11.5,IR,1655781808
Ingham,42.6,-84.3833,73.26,71,0,3.44,US,1655781808
Henties Bay,-22.116,14.2845,53.46,84,0,6.89,NA,1655781809
Tilichiki,60.4667,166.1,51.75,76,95,8.7,RU,1655781810
Doha,25.2867,51.5333,94.98,39,3,4.61,QA,1655781811
Makakilo City,21.3469,-158.0858,80.92,61,100,20.71,US,1655781811
Lorengau,-2.0226,147.2712,82.67,76,58,6.71,PG,1655781812
Anan,33.9167,134.65,73.18,98,100,12.73,JP,1655781813
Synya,65.3718,58.0387,62.82,68,50,10.67,RU,1655781813
Thanatpin,17.2119,96.3033,86.18,76,88,5.64,MM,1655781814
Altagracia de Orituco,9.8601,-66.3814,71.87,92,100,2.91,VE,1655781815
Anking,30.5092,117.0506,85.08,73,91,8.08,CN,1655781815
Nome,64.5011,-165.4064,55.17,80,20,12.66,US,1655781608
Lahaina,20.8783,-156.6825,81.64,80,31,7.65,US,1655781817
Hereford,52.0568,-2.7148,53.76,93,100,1.61,GB,1655781817
Orán,-23.1322,-64.326,54.43,78,0,2.71,AR,1655781818
Manuk Mangkaw,4.8,119.85,82.72,71,89,3.13,PH,1655781819
Prainha,-1.8,-53.48,72.14,96,67,2.15,BR,1655781819
Pacific Grove,36.6177,-121.9166,68.11,76,0,9.22,US,1655781821
Tam Ky,15.5667,108.4833,93.54,47,27,1.16,VN,1655781714
Atasū,48.6814,71.6433,72.43,57,12,11.16,KZ,1655781822
Seshcha,53.7361,33.3387,60.69,99,100,6.85,RU,1655781823
Noril'sk,69.3535,88.2027,76.42,36,100,11.99,RU,1655781823
Los Teques,10.3445,-67.0433,66.88,95,46,1.72,VE,1655781824
San Cristobal,7.7669,-72.225,71.78,94,99,1.72,VE,1655781689
San Ramon,37.7799,-121.978,84.65,35,0,11.5,US,1655781825
Horta,38.5333,-28.6333,64.0,90,93,20.29,PT,1655781826
Poum,-20.2333,164.0167,72.91,60,86,15.82,NC,1655781827
Sawtell,-30.3833,153.1,69.19,52,16,6.91,AU,1655781827
Seoul,37.5683,126.9778,87.19,54,0,4.61,KR,1655781582
Plettenberg Bay,-34.0527,23.3716,57.99,71,65,3.67,ZA,1655781828
Oranjestad,12.524,-70.027,82.35,74,20,20.71,AW,1655781791
Belmonte,-15.8631,-38.8828,70.99,87,13,6.85,BR,1655781830
Bundaberg,-24.85,152.35,73.22,62,100,4.0,AU,1655781830
Samarinda,-0.5,117.15,88.2,59,43,3.15,ID,1655781831
Zhezkazgan,47.8043,67.7144,75.18,50,0,4.47,KZ,1655781832
Abonnema,4.7084,6.7931,74.28,91,58,3.47,NG,1655781832
Narok,-1.0783,35.8601,50.34,94,61,3.18,KE,1655781833
Muravlenko,63.7898,74.523,74.71,50,15,17.94,RU,1655781834
Necochea,-38.5473,-58.7368,47.77,89,100,8.99,AR,1655781835
Talcahuano,-36.7167,-73.1167,51.48,87,100,9.22,CL,1655781835
San-Pédro,4.7485,-6.6363,74.53,92,100,3.36,CI,1655781836
Bismarck,46.8083,-100.7837,62.44,89,100,9.22,US,1655781766
Pinotepa de Don Luis,16.4167,-97.9167,72.55,96,100,2.01,MX,1655781837
Mīzan Teferī,6.9833,35.5833,60.08,95,96,1.92,ET,1655781838
Bonfim,3.0833,-59.95,73.65,94,100,3.0,BR,1655781838
Oga,46.4631,10.347,57.69,85,2,2.42,IT,1655781839
Bouca,6.5105,18.2733,68.36,98,100,1.01,CF,1655781840
Bolobo,-2.1667,16.2333,71.17,85,94,0.76,CD,1655781841
Nuuk,64.1835,-51.7216,32.61,100,100,21.85,GL,1655781841
Baylo,7.8539,126.0581,86.9,71,61,0.92,PH,1655781843
Fuxin,42.0156,121.6589,86.5,30,95,3.94,CN,1655781843
Chërnaya Kholunitsa,58.8511,51.7154,51.42,99,100,10.33,RU,1655781844
Havelock,34.8791,-76.9013,78.75,79,100,4.92,US,1655781567
Traverse City,44.7631,-85.6206,78.87,57,0,6.91,US,1655781734
Champotón,19.35,-90.7167,76.48,86,100,11.12,MX,1655781846
Mandalgovi,45.7625,106.2708,77.32,17,100,10.67,MN,1655781847
Delémont,47.3649,7.3445,64.53,93,100,2.98,CH,1655781847
Chauk,20.8833,94.8167,89.46,50,91,13.0,MM,1655781848
Kambove,-10.8764,26.5969,49.39,63,48,4.47,CD,1655781849
Tutóia,-2.7619,-42.2744,75.87,86,15,5.1,BR,1655781850
Touros,-5.1989,-35.4608,75.31,87,19,11.18,BR,1655781851
Babati,-4.2167,35.75,51.03,93,6,0.92,TZ,1655781851
Graaff-Reinet,-32.2522,24.5308,49.28,76,30,2.17,ZA,1655781852
Noumea,-22.2763,166.4572,75.18,99,44,11.79,NC,1655781853
Pilot Butte,50.4668,-104.4178,69.53,58,75,12.66,CA,1655781853
Atar,20.5169,-13.0499,78.03,72,95,3.87,MR,1655781854
Valença do Piauí,-6.4075,-41.7456,71.51,68,64,6.17,BR,1655781668
Natchez,31.5604,-91.4032,80.82,84,0,0.0,US,1655781709
Denpasar,-8.65,115.2167,83.86,74,40,16.11,ID,1655781754
Loikaw,19.6742,97.2094,79.12,63,48,4.72,MM,1655781857
Madaoua,14.073,5.96,86.94,42,8,10.85,NE,1655781857
Malindi,-3.2175,40.1191,76.96,75,20,17.09,KE,1655781858
Along,28.1667,94.7667,75.51,96,99,0.49,IN,1655781859
Bonito,-21.1211,-56.4819,67.3,82,0,3.53,BR,1655781860
Saint Anthony,45.0205,-93.218,91.02,53,20,16.11,US,1655781861
High Prairie,55.4334,-116.4858,60.94,73,100,3.58,CA,1655781861
High Rock,26.6208,-78.2833,77.02,72,54,15.66,BS,1655781862
Raudeberg,61.9875,5.1352,51.96,91,100,20.38,NO,1655781863
Kununurra,-15.7667,128.7333,85.98,20,95,14.97,AU,1655781863
Mogadishu,2.0371,45.3438,78.19,80,100,19.44,SO,1655781750
Makkah al Mukarramah,21.4267,39.8261,81.99,62,63,2.77,SA,1655781673
Viedma,-40.8135,-62.9967,41.34,61,48,10.33,AR,1655781868
Tomatlán,19.9333,-105.25,80.22,80,80,3.38,MX,1655781869
Lyuban',52.7985,28.0048,63.84,96,100,5.19,BY,1655781870
Bonavista,48.6499,-53.1147,51.53,100,100,11.9,CA,1655781870
Hirara,24.8,125.2833,88.07,74,40,18.41,JP,1655781871
Russell,32.3502,-85.1999,82.0,48,90,4.03,US,1655781872
Burns Lake,54.2331,-125.7533,60.22,54,61,10.63,CA,1655781605
Hakkâri Province,37.5833,44.1667,63.03,38,0,0.49,TR,1655781873
Marzuq,14.4,46.4667,77.83,63,96,4.29,YE,1655781874
Villaviciosa,43.4813,-5.4357,60.6,97,38,3.6,ES,1655781874
Padang,-0.9492,100.3543,86.05,66,65,3.22,ID,1655781875
Matam,15.6175,-13.3303,80.6,89,0,4.61,SN,1655781876
La Seyne-sur-Mer,43.0982,5.8847,74.53,75,28,1.99,FR,1655781876
Palu,-0.8917,119.8707,88.61,61,43,2.1,ID,1655781877
Tal'menka,53.8183,83.5677,71.38,76,99,4.59,RU,1655781878
Tamworth,52.634,-1.6959,52.52,84,100,1.99,GB,1655781879
Perth,-31.9333,115.8333,69.19,68,40,13.8,AU,1655781879
Yabrūd,33.9674,36.6574,60.91,38,0,1.48,SY,1655781880
Paraíso,9.8383,-83.8656,66.88,100,100,1.63,CR,1655781881
Verāval,20.9,70.3667,85.53,75,42,16.04,IN,1655781881
Novyy Urgal,51.0736,132.5642,57.83,97,100,4.79,RU,1655781882
Tongren,27.7172,109.1853,81.34,86,100,2.48,CN,1655781883
